Frame,Mean,StdDev,Kurtosis
2,0.0390666,0.0141853,0.363106
3,0.0390998,0.0142009,0.363195
5,0.0390813,0.0141626,0.362387
4,0.0391126,0.0141655,0.362171
1,0.0390683,0.0141656,0.362584
0,0.0390937,0.0141804,0.362727
6,0.039071,0.0141742,0.36278
7,0.0390595,0.0141532,0.36235
8,0.0390586,0.0141765,0.362954
11,0.0390783,0.0141522,0.362151
10,0.0390822,0.0141635,0.362401
9,0.0390795,0.014184,0.362954
12,0.0390688,0.014146,0.36208
13,0.0390715,0.0141529,0.36223
14,0.0390989,0.0141656,0.362302
15,0.039071,0.0141742,0.36278
16,0.0390595,0.0141532,0.36235
17,0.0390586,0.0141765,0.362954
18,0.0390795,0.014184,0.362954
19,0.0390822,0.0141635,0.362401
20,0.0390783,0.0141522,0.362151
21,0.0390688,0.014146,0.36208
22,0.0390715,0.0141529,0.36223
23,0.0390989,0.0141656,0.362302
24,0.0390671,0.014189,0.363196
25,0.0390742,0.0141651,0.36252
26,0.0390745,0.0141371,0.361797
27,0.0390762,0.0141768,0.362799
28,0.0390645,0.0141468,0.362141
29,0.0390533,0.0141501,0.362326
30,0.0390783,0.0141828,0.362933
31,0.0390925,0.0141687,0.36244
32,0.0390691,0.01415,0.362178
33,0.0390606,0.0141465,0.362168
34,0.0390688,0.0141621,0.362492
35,0.0390806,0.0141295,0.361548
36,0.0390771,0.0141734,0.362704
37,0.0390687,0.0141403,0.361933
38,0.0390584,0.0141701,0.362792
39,0.0390604,0.0141717,0.362816
40,0.0390622,0.0141528,0.362316
41,0.0390419,0.0141621,0.362741
42,0.0390747,0.0141489,0.362098
43,0.0390773,0.0141583,0.362314
44,0.0390769,0.0141755,0.362759
45,0.0390633,0.0141363,0.361883
46,0.0390691,0.0142013,0.363491
47,0.03908,0.0141519,0.362126
48,0.0390614,0.0141587,0.362472
49,0.0390577,0.0141533,0.362369
50,0.0390548,0.014152,0.362363
51,0.039048,0.0141536,0.362467
52,0.0390507,0.0141328,0.361909
53,0.0390652,0.0141258,0.361596
54,0.0390633,0.014142,0.362027
55,0.0390759,0.014154,0.362217
56,0.0390838,0.0141348,0.361654
57,0.0390422,0.0141178,0.361604
58,0.0390687,0.0141664,0.362603
59,0.0390814,0.0141311,0.361582
60,0.0390593,0.0141198,0.361497
61,0.0390723,0.0141666,0.362574
62,0.0390504,0.0141486,0.362318
63,0.0390656,0.0141446,0.362072
64,0.0390636,0.0141627,0.362555
65,0.0390652,0.0141534,0.362302
66,0.0390682,0.0141757,0.362845
67,0.0390518,0.0141357,0.361974
68,0.0390725,0.014169,0.362633
69,0.0390691,0.0141344,0.361779
70,0.0390484,0.0141227,0.361671
71,0.0390763,0.0141454,0.361995
72,0.0390666,0.0141407,0.361965
73,0.0390737,0.0141673,0.362579
74,0.0390335,0.0141032,0.361309
75,0.0390594,0.0141512,0.362299
76,0.0390736,0.0141471,0.362063
77,0.0390641,0.0141306,0.361728
78,0.0390588,0.0141086,0.361213
79,0.0390363,0.0141282,0.361924
80,0.0391007,0.0141758,0.362546
81,0.0390697,0.0141365,0.361828
82,0.0390466,0.0141533,0.362471
